Club Name	Nearest transport	London Borough	Website
Rolling Calf Jiu Jitsu	Penge East	Bromley	https://www.rollingcalfbjj.com/
Royal Resistance	Kidbrooke	Greenwich
https://www.royalresistance.co.uk/brazilian-jujitsu/
Royce Gracie Jiu-Jitsu Essex	Upminster	Havering
http://gracie-jiu-jitsu-essex.mymawebsite.com/
Ruislip BJJ	South Ruislip	Hillingdon	https://ruislipbjj.com/
School of Jiu Jitsu	Kilburn Park	Camden	https://theschoolofjiujitsu.com/
SCK Fitness Team	Leyton	Waltham Forest	https://sckfitnessteam.com/
SOAS BJJ	Russell Square	Camden
https://soasunion.org/organisation/7999/
Southside Kings Fight Academy	Waddon Marsh	Croydon	https://www.sskfightacademy.co.uk/
Stance Jiu Jitsu Academy	Woolwich	Greenwich	https://stancejiujitsu.com/
Stone Fight Academy	Welling	Bexley	https://stonefightacademy.co.uk/
Stronger Fitness and Martial Arts	South Wimbledon	Merton
https://www.strongerfitnessandmartialarts.co.uk/
Studio NW2	Cricklewood	Brent	https://www.studionw2.com/
Submission Grappling Club / Los Banditos
Ladbroke Grove	Kensington and Chelsea	https://submissiongrapplingclub.co.uk/
https://losbanditos.club/
Submission School	Forest Gate	Newham
https://www.facebook.com/SubmissionSchool
Target Team	Riverside Barking	Barking & Dagenham
https://www.instagram.com/targetengland/
The Armoury	West Sutton	Sutton	https://the-armoury.uk/
The BJJ Place - Enfield	Enfield Chase	Enfield
https://themartialartsplace.com/enfield-dojo
The BJJ Place - Stoke Newington	Dalston Kingsland	Hackney
https://themartialartsplace.com/stoke-newington-dojo
The BJJ Place - West Hampstead	West Hampstead	Camden
https://themartialartsplace.com/west-hampstead-dojo
The Budokwai	Earls Court	Kensington and Chelsea	https://budokwai.co.uk/brazilian-jiu-jitsu
The Gauntlet Fight Academy	Ealing Broadway	Ealing
https://www.thegauntletfightacademy.com/
The Institute of Grappling (IOG)	Hendon Central	Barnet	https://instituteofgrappling.com/
The Kodokan	Woolwich Dockyard	Greenwich	https://www.thekodokan.com/
The London Jiu Jitsu Centre	Warren Street	Camden	https://www.londonjiujitsucentre.com/
The MMA Clinic - Angel	Angel	Islington	https://www.odysseybjj.co.uk/
The MMA Clinic - Romford	Romford	Havering	https://www.odysseybjj.co.uk/
The Resistance	High Barnet	Barnet	https://www.the-resistance.co.uk/
The Warehouse	Hendon	Barnet
https://www.thewarehouse-wellness.co.uk/
Third Space - Moorgate	Moorgate	Islington
https://www.thirdspace.london/bjj-academy/
Third Space - Soho	Picadilly circus	City of Westminster
https://www.thirdspace.london/bjj-academy/
Tokei Martial Arts	London Bridge	Southwark	https://www.tokeicentre.org/
Triccs Academy BJJ - Beckenham	Beckenham Road	Bromley	https://www.dulwichbjj.com/
Triccs Academy BJJ - Dulwich (2 locations)
West Dulwich	Southwark	https://www.dulwichbjj.com/
Triccs Academy BJJ - Peckham	Queen's Rd Peckham	Southwark	https://www.dulwichbjj.com/
